registry,project_methodologies
ACR,"ACR - ARB Compliance Offset Protocol: U.S. Forest Projects (June 25, 2015), ACR - ARB Compliance Offset Protocol: U.S. Forest Projects (November 14, 2014), ACR - ARB Compliance Offset Protocol: U.S. Forest Projects (October 20, 2011), ACR - Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants (Version 2.0), ACR - Emission Reductions from Enhanced Oil Recovery (Version 0), ACR - Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use (Version 2.0), ACR - Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use (Version 3.0), ACR - ARB Compliance Offset Protocol: Mine Methane Capture Projects (April 25, 2014), ACR - ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks (October 20, 2011), ACR - Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol (Version 1.0), ACR - Advanced Refrigeration Systems (Version 2.0), ACR - Improved Forest Management (IFM) on Non-Federal U.S. Forestlands (Version 1.3), ACR - ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks (November 14, 2014), AMS-I.C. Thermal energy production with or without electricity (Version 19.0), ACR - Improved Forest Management (IFM) on Non-Federal U.S. Forestlands (Version 1.2), ACR - Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use (Version 2.1), ACR - Destruction of Ozone Depleting Substances (ODS) from International Sources (Version 1.0), ACR - Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use (Version 1.0), ACR - Afforestation and Reforestation of Degraded Lands (Version 1.0), ACR - Improved Forest Management (IFM) on Non-Federal U.S. Forestlands (Version 1.0), ACR - Advanced Refrigeration Systems (Version 2.1), ACR - Improved Forest Management (IFM) on Non-Federal U.S. Forestlands (Version 1.1), ACR - Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants (Version 1.1), ACR - Offset Project Methodology for Landfill Methane Collection and Combustion (Version 0), ACR - ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems (November 14, 2014), ACR - Landfill Gas Destruction and Beneficial Use Projects (Version 1.0), ACR - Monitoring, Reporting and Verification Protocol for Cogeneration (Version 0), ACM0002 Grid-connected electricity generation from renewable sources (Version 15.0), ACR - Plugging Orphan Oil and Gas Wells in the U.S. and Canada (1.0), ACR - Reduction in Emissions from the Recycling of Transformer Oil (Version 1.0), ACR - Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants (Version 1.2), ACR - Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam (Version 2.0), ACR - Emissions Reductions through Anti-Idling Technologies (Version 1.0), AR-ACM0001 Afforestation and reforestation of degraded land (Version 5.2.0), ACR - Landfill Gas Destruction and Beneficial Use Projects (Version 2.0), ACR - Improved Forest Management (IFM) on Canadian Forestlands (Version 1.0), AMS-III.Y. Methane avoidance through separation of solids from wastewater or manure treatment systems (Version 3.0), ACR - Improved Forest Management (IFM) on Non-Federal U.S. Forestlands (Version 2.0), ACR - Avoided Conversion of Grasslands and Shrublands to Crop Production (Version 2.0), ACR - Truck Stop Electrification (Version 1.1), ACR - Emission reductions through industrial gas substitution (Version 1.0), ACR - Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants (Version 1.0), ACR - Truck Stop Electrification (Version 1.0), ACR - Anaerobic Digestion (Version 1.0), Improved Forest Management (IFM) on Small Non-Industrial Private Forestlands"
Acorn,"Smallscale Agroforestry (1), Smallscale Agroforestry (1.1)"
Architecture for REDD+ Transactions,The REDD+ Environmental Excellence Standard (TREES) (Version 2.0)
Australia ETS,"Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3), Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2), Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014, Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022, Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2), Carbon Credits (Carbon Farming Initiative-Reforestation and Afforestation 2.0) Methodology Determination 2015, Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015, Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2017 (Compilation No. 1), Carbon Farming (Quantifying Carbon Sequestration by Permanent Environmental Plantings of Native Tree Species using the CFI Reforestation Modelling Tool) Methodology Determination 2012, Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1), Carbon Credits (Carbon Farming Initiative) (Reforestation and Afforestation) Methodology Determination 2013, Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2024, Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013, Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 1), Carbon Credits (Carbon Farming Initiative) (Reforestation and Afforestation-1.2) Methodology Determination 2013, Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2017, Carbon Credits (Carbon Farming Initiative) (Measurement Based Methods for New Farm Forestry Plantations) Methodology Determination 2014 (Compilation No. 1), Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 2), Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 1), Carbon Credits (Carbon Farming Initiative-Avoided Clearing of Native Regrowth) Methodology Determination 2015 (Compilation No. 1), Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013, Carbon Credits (Carbon Farming Initiative-Designated Verified Carbon Standard Projects) Methodology Determination 2015, Carbon Credits (Carbon Farming Initiative-Tidal Restoration of Blue Carbon Ecosystems) Methodology Determination 2022, Carbon Credits (Carbon Farming Initiative) (Quantifying Carbon Sequestration by Permanent Mallee Plantings using the Reforestation Modelling Tool) Methodology Determination 2013, Carbon Credits (Carbon Farming Initiative-Avoided Clearing of Native Regrowth) Methodology Determination 2015"
BCR,BCR0003_Quantification of GHG emission Reductions. Activities that prevent land use change in high mountain ecosystems
BioCarbon Standard,"BCR0002_Quantification of GHG Emission Reductions. REDD+ Projects, AR-ACM0003 Afforestation and reforestation of lands except wetlands, BCR0001_ARR Activities"
CAR,"Forestry - MX, Improved Forest Management - ARB Compliance, Soil Enrichment, Improved Forest Management, Conservation-Based Forest Management, Reforestation, Avoided Conversion, Reforestation - ARB Compliance, Avoided Conversion - ARB Compliance"
Canada Greenhouse Gas Offset Credit System Public Registry,"Improved Forest Management on Private Land, Version 1.1"
Cercarbono (listed on EcoRegistry),"CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels, ACM0002 Grid-connected electricity generation from renewable sources, ACM0001 Flaring or use of landfill gas, M/UT/F-A01: Methodology for the Implementation of GHG Removal Projects Through Reforestation, Forest Regeneration and the Establishment of Woody Crops, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, AR-ACM0003 Afforestation and reforestation of lands except wetlands, M/WM-RE_ED01: Methodology for the Execution of Projects for Capture, Destruction or Use of Biogas Produced in Sanitary Landfills, AR-ACM0003 Afforestation and reforestation of lands except wetlands, ACM0007 Conversion from single cycle to combined cycle power generation, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, M/UT/F-A01: Methodology for the Implementation of GHG Removal Projects Through Reforestation, Forest Regeneration and the Establishment of Woody Crops, CCA - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels, CCB - M/LU-REDD, AMS-I.C. Thermal energy production with or without electricity, AMS-III.H. Methane recovery in wastewater treatment, AMS-III.F. Avoidance of methane emissions through composting, ACM0006 Electricity and heat generation from biomass, M/UT/F-A01: Methodology for the Implementation of GHG Removal Projects Through Reforestation, Forest Regeneration and the Establishment of Woody Crops, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Methodology for executing projects that capture, destroy, or use the biogas produced in sanitary landfills, Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector, AMS-III.H. Methane recovery in wastewater treatment, AMS-III.F. Avoidance of methane emissions through composting, AMS-I.C. Thermal energy production with or without electricity, AR-ACM0003 Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, M/UT/F-A01: Methodology for the Implementation of GHG Removal Projects Through Reforestation, Forest Regeneration and the Establishment of Woody Crops, AMS-I.D. Grid connected renewable electricity generation, NTC 6208, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, M/UT/F-A01: Methodology for the Implementation of GHG Removal Projects Through Reforestation, Forest Regeneration and the Establishment of Woody Crops, AR-ACM0003 Afforestation and reforestation of lands except wetlands, AMS-I.L. Electrification of rural communities using renewable energy, AMS-I.F. Renewable electricity generation for captive use and mini-grid, CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy, M/LU/F-W01: Modular Methodology for Climate Change Mitigation Activities on Forest Lands and Wetlands"
Clean Development Mechanism,"ACM0002 Grid-connected electricity generation from renewable sources (13.0.0), ACM0002 Grid-connected electricity generation from renewable sources (12.3.0), AM0034 Catalytic reduction of N2O inside the ammonia burner of nitric acid plants (2.0), ACM0002 Grid-connected electricity generation from renewable sources (6.0), ACM0001 Flaring or use of landfill gas (4.0), AM0002 Greenhouse gas emission reductions through landfill gas capture and flaring where the baseline is established by a public concession contract (2.0), AR-AM0004 Reforestation or afforestation of land currently under agricultural use (4.0), ACM0001 Flaring or use of landfill gas (15.0), AM0028 N2O destruction in the tail gas of Caprolactam production plants (5.1.0), AR-ACM0001 Afforestation and reforestation of degraded land (4.0), AM0078 Point of Use Abatement Device to Reduce SF6 emissions in LCD Manufacturing Operations (1.1), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (8.0), ACM0001 Flaring or use of landfill gas (10.0), AM0038 Methodology for improved electrical energy efficiency of an existing submerged electric arc furnace used for the production of silicon and ferro alloys (1.0), ACM0002 Grid-connected electricity generation from renewable sources (6.0), AM0028 N2O destruction in the tail gas of Caprolactam production plants (1.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (3.0), AM0001 Decomposition of fluoroform (HFC-23) waste streams (3.0), ACM0019 N2O abatement from nitric acid production (1.0.0), ACM0007 Conversion from single cycle to combined cycle power generation (6.1.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (10.0), ACM0002 Grid-connected electricity generation from renewable sources (9.0), ACM0002 Grid-connected electricity generation from renewable sources (11.0), ACM0001 Flaring or use of landfill gas (19.0), AM0003 Simplified financial analysis for landfill gas capture projects (3.0), ACM0002 Grid-connected electricity generation from renewable sources (12.0), AM0029 Baseline Methodology for Grid Connected Electricity Generation Plants using Natural Gas (3.0), AM0021 Baseline Methodology for decomposition of N2O from existing adipic acid production plants (1.0), ACM0002 Grid-connected electricity generation from renewable sources (6.0), AM0028 N2O destruction in the tail gas of Caprolactam production plants (3.0), ACM0001 Flaring or use of landfill gas (12.0.0), ACM0001 Flaring or use of landfill gas (11.0), AM0079 Recovery of SF6 from Gas insulated electrical equipment in testing facilities (2.0), ACM0001 Flaring or use of landfill gas (4.0), AMS-I.D. Grid connected renewable electricity generation (9.0), ACM0002 Grid-connected electricity generation from renewable sources (16.0), AMS-I.L. Electrification of rural communities using renewable energy (3.0), AMS-III.BB. Electrification of communities through grid extension or construction of new mini-grids (2.0), AMS-III.AR. Substituting fossil fuel based lighting with LED/CFL lighting systems (5.0), ACM0006 Electricity and heat generation from biomass (4.0), AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems (4.0), AR-AM0005 Afforestation and reforestation project activities implemented for industrial and/or commercial uses (3.0), AMS-II.J. Demand-side activities for efficient lighting technologies (3.0), AM0028 N2O destruction in the tail gas of Caprolactam production plants (4.2), ACM0002 Grid-connected electricity generation from renewable sources (7.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (4.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (5.0), ACM0002 Grid-connected electricity generation from renewable sources (4.0), AM0009 Recovery and utilization of gas from oil fields that would otherwise be flared or vented (6.0.0), AMS-I.E. Switch from non-renewable biomass for thermal applications by the user (4.0), ACM0001 Flaring or use of landfill gas (5.0), ACM0002 Grid-connected electricity generation from renewable sources (13.0), AMS-II.C. Demand-side energy efficiency activities for specific technologies (9.0), ACM0001 Flaring or use of landfill gas (18.1), ACM0002 Grid-connected electricity generation from renewable sources (14.0), AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems (4.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (7.0), AM0028 N2O destruction in the tail gas of Caprolactam production plants (4.2), AM0034 Catalytic reduction of N2O inside the ammonia burner of nitric acid plants (2.0), ACM0001 Flaring or use of landfill gas (2.0), ACM0006 Electricity and heat generation from biomass (1.0), AMS-I.D. Grid connected renewable electricity generation (10.0), ACM0004 Consolidated methodology for waste gas and/or heat for power generation (2.0), AMS-I.A. Electricity generation by the user (14.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (3.0), AMS-III.AV. Low greenhouse gas emitting safe drinking water production systems (2.0), AMS-III.E. Avoidance of methane production from decay of biomass through controlled combustion, gasification or mechanical/thermal treatment (7.0), AM0026 Methodology for zero-emissions grid-connected electricity generation from renewable sources in Chile or in countries with merit order based dispatch grid (2.0), ACM0002 Grid-connected electricity generation from renewable sources (17.0), ACM0002 Grid-connected electricity generation from renewable sources (20.0), ACM0006 Electricity and heat generation from biomass (2.0), ACM0002 Grid-connected electricity generation from renewable sources (10.0), ACM0006 Electricity and heat generation from biomass (9.0), AM0009 Recovery and utilization of gas from oil fields that would otherwise be flared or vented (7.0), AMS-I.D. Grid connected renewable electricity generation (17.0), ACM0006 Electricity and heat generation from biomass (9.0), ACM0002 Grid-connected electricity generation from renewable sources (10.0), ACM0019 N2O abatement from nitric acid production (2.0), AM0005 Small grid-connected zero-emissions renewable electricity generation (1.0), AMS-I.D. Grid connected renewable electricity generation (8.0), ACM0002 Grid-connected electricity generation from renewable sources (5.0), AMS-III.D. Methane recovery in animal manure management systems (14.0), ACM0005 Increasing the blend in cement production (2.0), AMS-I.D. Grid connected renewable electricity generation (16.0), AMS-I.D. Grid connected renewable electricity generation (13.0), ACM0012 Waste energy recovery (3.2), AMS-I.C. Thermal energy production with or without electricity (12.0), AM0013 Avoided methane emissions from organic waste-water treatment (4.0), AMS-I.E. Switch from non-renewable biomass for thermal applications by the user (6.0), AMS-I.I. Biogas/biomass thermal applications for households/small users (4.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (6.0), ACM0002 Grid-connected electricity generation from renewable sources (2.0), AR-AM0002 Restoration of degraded lands through afforestation/reforestation (1.0), AM0025 Alternative waste treatment processes (13.0.0), ACM0002 Grid-connected electricity generation from renewable sources (6.0), ACM0006 Electricity and heat generation from biomass (5.0), ACM0006 Electricity and heat generation from biomass (9.0), ACM0002 Grid-connected electricity generation from renewable sources (10.0), ACM0002 Grid-connected electricity generation from renewable sources (15.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (6.0), AMS-III.F. Avoidance of methane emissions through composting (10.0), ACM0006 Electricity and heat generation from biomass (10.1), ACM0002 Grid-connected electricity generation from renewable sources (19.0), AMS-I.C. Thermal energy production with or without electricity (19.0), AMS-III.H. Methane recovery in wastewater treatment (16.0), AMS-I.D. Grid connected renewable electricity generation (15.0), ACM0002 Grid-connected electricity generation from renewable sources (8.0), AMS-III.I. Avoidance of methane production in wastewater treatment through replacement of anaerobic systems by aerobic systems (6.0), ACM0009 Fuel switching from coal or petroleum fuel to natural gas (3.2), ACM0018 Electricity generation from biomass in power-only plants (2.0.0), ACM0012 Waste energy recovery (4.0.0), AMS-I.D. Grid connected renewable electricity generation (16.0), AMS-I.C. Thermal energy production with or without electricity (18.0), AR-AM0005 Afforestation and reforestation project activities implemented for industrial and/or commercial uses (1.0), AMS-I.D. Grid connected renewable electricity generation (14.0), ACM0006 Electricity and heat generation from biomass (6.2), ACM0001 Flaring or use of landfill gas (2.0), AMS-I.D. Grid connected renewable electricity generation (8.0), AM0056 Efficiency improvement by boiler replacement or rehabilitation and optional fuel switch in fossil fuel-fired steam boiler systems (1.0), ACM0001 Flaring or use of landfill gas (18.0), AM0026 Methodology for zero-emissions grid-connected electricity generation from renewable sources in Chile or in countries with merit order based dispatch grid (3.0), AMS-III.AR. Substituting fossil fuel based lighting with LED/CFL lighting systems (5.0), AMS-I.B. Mechanical energy for the user with or without electrical energy (12.0), AMS-I.F. Renewable electricity generation for captive use and mini-grid (3.0), AMS-I.L. Electrification of rural communities using renewable energy (3.0), AM0025 Alternative waste treatment processes (6.0), AR-ACM0003 Afforestation and reforestation of lands except wetlands (1.0.0), AMS-I.D. Grid connected renewable electricity generation (6.0), AMS-I.D. Grid connected renewable electricity generation (7.0), ACM0001 Flaring or use of landfill gas (5.0), ACM0002 Grid-connected electricity generation from renewable sources (6.0), AMS-III.H. Methane recovery in wastewater treatment (16.0), AM0029 Baseline Methodology for Grid Connected Electricity Generation Plants using Natural Gas (1.0), ACM0001 Flaring or use of landfill gas (4.0), AMS-I.C. Thermal energy production with or without electricity (8.0), AM0065 Replacement of SF6 with alternate cover gas in the magnesium industry (2.1), ACM0006 Electricity and heat generation from biomass (12.1.0), AMS-I.C. Thermal energy production with or without electricity (9.0), AMS-I.D. Grid connected renewable electricity generation (16.0), AMS-III.G. Landfill methane recovery (6.0), AMS-III.H. Methane recovery in wastewater treatment (3.0), AMS-I.D. Grid connected renewable electricity generation (18.0), AR-AM0002 Restoration of degraded lands through afforestation/reforestation (3.0), AMS-I.D. Grid connected renewable electricity generation (11.0), AMS-I.D. Grid connected renewable electricity generation (17.0), AMS-III.G. Landfill methane recovery (7.0), AM0082 Use of charcoal from planted renewable biomass in a new iron ore reduction system (1.0), AMS-I.D. Grid connected renewable electricity generation (9.0), AMS-I.D. Grid connected renewable electricity generation (12.0), AM0010 Landfill gas capture and electricity generation projects where landfill gas capture is not mandated by law (1.0), AMS-III.E. Avoidance of methane production from decay of biomass through controlled combustion, gasification or mechanical/thermal treatment (7.0), AMS-I.D. Grid connected renewable electricity generation (7.0), ACM0002 Grid-connected electricity generation from renewable sources (6.0), ACM0008 Abatement of methane from coal mines (3.0), AMS-III.R. Methane recovery in agricultural activities at household/small farm level (2.0), AMS-I.I. Biogas/biomass thermal applications for households/small users (4.0), AM0013 Avoided methane emissions from organic waste-water treatment (3.0), AMS-I.E. Switch from non-renewable biomass for thermal applications by the user (5.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (2.0), AM0013 Avoided methane emissions from organic waste-water treatment (4.0), AR-ACM0001 Afforestation and reforestation of degraded land (3.0), AMS-I.D. Grid connected renewable electricity generation (15.0), AMS-I.C. Thermal energy production with or without electricity (16.0), AMS-III.H. Methane recovery in wastewater treatment (13.0), AMS-III.G. Landfill methane recovery (6.0), AMS-I.D. Grid connected renewable electricity generation (15.0), ACM0001 Flaring or use of landfill gas (8.1), AMS-I.C. Thermal energy production with or without electricity (18.0), AMS-III.J. Avoidance of fossil fuel combustion for carbon dioxide production to be used as raw material for industrial processes (3.0), ACM0025 Construction of a new natural gas power plant (1.0), AM0003 Simplified financial analysis for landfill gas capture projects (4.0), AMS-I.F. Renewable electricity generation for captive use and mini-grid (2.0), AMS-I.D. Grid connected renewable electricity generation (16.0), AMS-III.H. Methane recovery in wastewater treatment (15.0), AMS-I.D. Grid connected renewable electricity generation (18.0), AMS-III.G. Landfill methane recovery (9.0), AMS-I.D. Grid connected renewable electricity generation (10.0), ACM0001 Flaring or use of landfill gas (5.0), AR-AM0001 Reforestation of degraded land (2.0), AMS-I.A. Electricity generation by the user (14.0), AM0036 Use of biomass in heat generation equipment (1.0), AMS-I.C. Thermal energy production with or without electricity (12.0), AM0031 Bus rapid transit projects (6.0), AMS-II.D. Energy efficiency and fuel switching measures for industrial facilities (7.0), AMS-I.C. Thermal energy production with or without electricity (16.0), AMS-I.C. Thermal energy production with or without electricity (14.0), AR-AM0003 Afforestation and reforestation of degraded land through tree planting, assisted natural regeneration and control of animal grazing (4.0), AMS-III.U. Cable Cars for Mass Rapid Transit System (MRTS) (1.0), AR-AM0010 Afforestation and reforestation project activities implemented on unmanaged grassland in reserve/protected areas (4.0), AMS-I.D. Grid connected renewable electricity generation, AMS-I.C. Thermal energy production with or without electricity (19.0), ACM0014 Treatment of wastewater (3.1), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (11.0), AMS-III.H. Methane recovery in wastewater treatment (9.0), AR-AMS0001 Simplified baseline and monitoring methodologies for small-scale A/R CDM project activities implemented on grasslands or croplands with limited displacement of pre-project activities (5.0), AMS-II.D. Energy efficiency and fuel switching measures for industrial facilities (8.0), AMS-III.Q. Waste energy recovery (2.0), AMS-II.D. Energy efficiency and fuel switching measures for industrial facilities (11.0), AR-AM0004 Reforestation or afforestation of land currently under agricultural use (3.0), AMS-I.C. Thermal energy production with or without electricity (10.0), AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass (3.0), AMS-I.E. Switch from non-renewable biomass for thermal applications by the user (6.0), AM0009 Recovery and utilization of gas from oil fields that would otherwise be flared or vented (2.1), AM0058 Introduction of a district heating system (3.1), AMS-I.C. Thermal energy production with or without electricity (11.0), AMS-III.H. Methane recovery in wastewater treatment (5.0), AMS-I.A. Electricity generation by the user (7.0), AMS-I.D. Grid connected renewable electricity generation (18.0), AMS-III.E. Avoidance of methane production from decay of biomass through controlled combustion, gasification or mechanical/thermal treatment (7.0), AMS-III.AO. Methane recovery through controlled anaerobic digestion (1.0), AMS-I.D. Grid connected renewable electricity generation (17.0), AMS-I.E. Switch from non-renewable biomass for thermal applications by the user (4.0), AMS-I.I. Biogas/biomass thermal applications for households/small users (4.0), AMS-III.R. Methane recovery in agricultural activities at household/small farm level (2.0), AMS-II.B. Supply side energy efficiency improvements – generation (9.0), AMS-III.Z. Fuel Switch, process improvement and energy efficiency in brick manufacture (3.0), AMS-I.A. Electricity generation by the user (13.0), AMS-II.E. Energy efficiency and fuel switching measures for buildings (6.0), AMS-III.B. Switching fossil fuels (6.0), AMS-III.G. Landfill methane recovery (6.0), AMS-I.D. Grid connected renewable electricity generation (16.0), AMS-III.D. Methane recovery in animal manure management systems (12.0), AMS-III.B. Switching fossil fuels (6.0), AMS-II.E. Energy efficiency and fuel switching measures for buildings (6.0), AM0022 Avoided Wastewater and On-site Energy Use Emissions in the Industrial Sector (4.0), ACM0010 GHG emission reductions from manure management systems (2.0), AMS-II.D. Energy efficiency and fuel switching measures for industrial facilities (12.0), AMS-I.C. Thermal energy production with or without electricity (12.0), AMS-III.R. Methane recovery in agricultural activities at household/small farm level (1.0), AMS-II.B. Supply side energy efficiency improvements – generation (7.0), AMS-I.D. Grid connected renewable electricity generation (9.0), AMS-II.J. Demand-side activities for efficient lighting technologies (7.0), AMS-I.C. Thermal energy production with or without electricity (6.0), ACM0014 Treatment of wastewater (4.1.0), AMS-I.A.  (12.0), AR-AM0001 ver. 2, AR-AMS0001 ver. 5, AR-AM0002, AR-AMS0001 ver. 4, AR-AM0005, AR-AM0003 ver. 3, AR-AM0003 ver. 4, AR-AM0004 ver. 3, AR-AM0005 ver. 3, AR-ACM0001 ver. 3, AR-AM0010 ver. 4, AR-AM0004 ver. 4, AR-AM0005 ver. 4, AR-ACM0001 ver. 4, AR-AMS0003, AR-AM0009 ver. 4, AR-ACM0001 ver. 5, AR-AM0002 ver. 3, AR-AMS0004 ver. 2, AR-AMS0001 ver. 6, AR-ACM0003, AR-ACM0003 ver. 2, AR-AMS0007 ver. 3"
