Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael","1403","Swire Pacific Offshore Operations (Pte) Ltd. (SPO)","Verra","VM0007","Agriculture; forestry and fishing","Paraguay",Registered,,,0,6553,0,6553
"Redd Forests Grouped Project: Protection of Tasmanian Native Forest","641","Not specified","Verra","VM0010","Agriculture; forestry and fishing","Australia",Registered,,,0,395779,393697,2082
"The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem","953","Swire Pacific Offshore Operations (Pte) Ltd. (SPO)","Verra","VM0007","Agriculture; forestry and fishing","Paraguay",Registered,,,0,89998,0,89998
"Restoration of burned-out forests through the carbon-sequestration plantation in forest-steppe zone","5127","Not specified","Verra","VM0047","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"RIWNE OBLAST FOREST PRESERVATION PROJECT (Conversion of logged to protected forest)","4489","Denmak TOV","Verra","VM0010","Agriculture; forestry and fishing","Ukraine",Listed,,,0,0,0,0
"Proyecto forestal de mitigación de cambio climático “Forestal de La Orinoquía”","8","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,1156938,972105,184833
"IMPROVED FOREST MANAGEMENT THROUGH LOGGED-TO-PROTECTED FORESTS AND REDUCED IMPACT LOGGING IN UFA NGOMBÉ, REPUBLIC OF CONGO","2765","Interholco AG","Verra","VM0010","Agriculture; forestry and fishing","Congo",Listed,,,0,0,0,0
"The Juma Sustainable Development Reserve Project: Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation plus forest management in the State of Amazonas, Brazil","1596","Fundação Amazonas Sustentável - FAS","Verra","VM0015","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Afforestation and restoration of degraded forests in Eastern Paraguay or Forestal Azul Carbon Project","2469","Forestal Azul S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Paraguay",Registered,,,0,115496,73837,41659
"BOSQUES CAUTIN S.A. FOREST CARBON PROJECT CONVERSION OF LOGGED TO PROTECTED FOREST PROJECT","3734","Bosques Cautin S.A.","Verra","VM0010","Agriculture; forestry and fishing","Chile",Listed,,,0,0,0,0
"Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot","605","Not specified","Verra","VM0010","Agriculture; forestry and fishing","Australia",Registered,,,0,20384,20384,0
"CCB - VCS Project ID 15 dec 2023 – Bosques Cautin S.A. Forest Carbon Project II","5273","Bosques Cautin S.A.","Verra","VCS-VM0010","Agriculture; forestry and fishing","Chile",Listed,,,0,0,0,0
"Agroforestry and forest restoration for ecological connectivity, poverty reduction and biodiversity conservation in Cerro San Gil, Caribbean Guatemala","1558","Livelihoods Fund SICAV SIF","Verra","AR-ACM0003","Agriculture; forestry and fishing","Guatemala",Registered,,,0,278197,122490,155707
"GS5047 VPA63 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project VIII","GS10994","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Forestal y Papelera Concepción Biomass Residues Cogeneration Plant in Chile.","RJUMUY7H78XO06ZMLQKLNGC02ZJWS4","CORDFELIM, DEUMAN","CDM Registry","CDM - ACM0006","Energy industries (renewable - / non-renewable sources)","Chile",Validated,2007-01-01T00:00:00.000Z,2013-12-31T18:00:00.000Z,0,0,0,0
"Legacy Forest Climate Initiative","4660","PotlatchDeltic Corporation","Verra","VM0010","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"Rio Cautario Forest Conservation Project","4581","Permian Brasil Serviços Ambientais LTDA","Verra","VCS-VM0007","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"GS5047 VPA76 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project IV","GS11012","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Small scale Lalitpur JFM A/R CDM Project on degraded lands in Lalitpur Forest Division, Uttar Pradesh, India","4LYQJRQB7IHN7V6SL1YB9NO5PN3T5G","n.a.","CDM Registry","CDM - AR-AMS0007","Afforestation and reforestation","India",Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Use of charcoal from renewable biomass originated from forest plantations as reducing agent in the production of primary iron in the Vallourec & Sumitomo Tubos do Brasil Ltda (VSB) steel complex, Jeceaba/MG, Brazil","ZPPVE4B815BQDZLKKFZOL3RUBJ0KJ4","Charconsulting","CDM Registry","CDM - AM0082","Metal production","Brazil",Withdrawn,2015-01-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,0,0,0,0
"GS5047 VPA50 African Improved Cookstoves and Clean Water Programme: Ibanda ‚Äì Makera Forest Cook Stove Project I","GS10826","Likano Project Development GmbH","Gold Standard","GS - REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION (TPDDTEC)","Energy Demand","Rwanda",Registered,,,0,0,0,0
"Suruí Forest Carbon Project","1118","Metareilá Association of the Suruí Indigenous P'pl","Verra","VM0015","Agriculture; forestry and fishing","Brazil",Registered,,,0,251529,251529,0
"Afognak Forest Carbon Project","872","ClimeCo LLC","Verra","VM0012","Agriculture; forestry and fishing","United States of America",Listed,,,0,1363465,1016283,347182
