Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Kijani Forestry smallholder farmer forestry project","4475","Kijani Forestry","Verra","AR-ACM0003","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
"Forestry Project in Strategic Ecological Areas of the Colombian Caribbean Savannas","C7MOGSFI4OAAF0P5D30SCOA2P4MJTS","CAF","CDM Registry","CDM - AR-AM0005","Afforestation and reforestation","Colombia",Registered,2003-06-01T00:00:00.000Z,2033-05-31T00:00:00.000Z,1062660,1062660,0,1062660
"Reforestation of severely degraded landmass in Khammam District of Andhra Pradesh, India under ITC Social Forestry Project","IRNSR8NSZMDTUK8PB7ICGE5KNE7CJZ","PricewaterhouseCoopers","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","India",Registered,2001-07-02T00:00:00.000Z,2031-07-01T00:00:00.000Z,809794,404897,0,404897
"Agro-forestry Interventions in Koraput district of Orissa","OV736B5Z6FTBARE2RCOQOPTCHP3KRE","Patneswari Agri. Cooperative","CDM Registry","CDM - AR-AMS0004","Afforestation and reforestation","India",Registered,2009-07-28T00:00:00.000Z,2039-07-27T00:00:00.000Z,50294,50294,0,50294
"Enhancing Rural Livelihoods through Carbon Sequestration by adopting Agro-forestry practices and Natural Climate Solutions","3702","VEDA CLIMATE CHANGE SOLUTIONS LTD","Verra","ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Reforestation of pasture lands on the Peruvian Northern Andes – “Forestry PRODICOM” Grouped Project","1397","Not specified","Verra","AR-AMS0007","Agriculture; forestry and fishing","Peru",Registered,,,0,0,0,0
"Nigeria Community-based Forestry Project","5038","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Nigeria",Listed,,,0,0,0,0
"Eastern Cape Bamboo Forestry Project, South Africa","3632","EcoPlanet Bamboo Group","Verra","AR-ACM0003","Agriculture; forestry and fishing","South Africa",Listed,,,0,0,0,0
"PROCUENCA: Forestry Project to Restore the Watershed of the Chinchiná River, an Environmental and Productive Alternative for the City of Manizales and the Surrounding Region.","4XU3GS9F63DTVWF6BPNRTKQ6ZI0536","Deloitte Touche Tohmatsu India","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",Validated,2002-06-01T00:00:00.000Z,2022-06-01T00:00:00.000Z,0,0,0,0
"Forestry Project for the Basin of the Chinchiná River, an Environmental and Productive Alternative for the City and the Region","JJ6I8M51HL6I4B3IS7VMO0WRZT2ASS","Carbono & Bosques, CAEMA","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",Registered,2002-06-04T00:00:00.000Z,2022-06-03T00:00:00.000Z,288518,288518,0,288518
