Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Aprosacao Reforestation Project: community reforestation and agroforestry with small-scale cocoa farmers in Honduras.","GS5012","Unknown Project Developer","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Honduras",Registered,,,0,0,0,0
"Reforestation of Degraded Forest Reserve Land in Ghana","66","Mere Plantations Limited","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Ghana",Approved,,,0,361327,0,361327
"ArboRise Participative Reforestation in  Upper Guinea","GS12203","South Pole Carbon Asset Management Ltd.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Guinea",Listed,,,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group4","8A3O4ICCPDZJEZLNXSR7MCXMUV3AWH","Kanaka Management Services","CDM Registry","CDM - AR-AMS0007","NA","Mozambique",Validated,2020-02-26T00:00:00.000Z,2027-02-25T00:00:00.000Z,0,0,0,0
"ARAKU VALLEY REFORESTATION PROJECT","3248","CropZone Agro Forestry Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Reforestation of degraded land by MTPL in India","2404","Mangalam Timber Products Limited","Verra","AR-ACM0001","Agriculture; forestry and fishing","India",Registered,,,0,2015518,832146,1183372
"Restoration of Degraded Lands through Reforestation in Aberdare Forest Complex & National Park area, Kenya","0LCD8U09HEN46XXT0YIX3XP5SYME0N","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Small-scale Reforestation for Landscape Restoration.","988OVLUNUVKP42F67MCACDP3LCIGC6","Mitsubishi UFJ Securities","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","China",Validated,2006-10-15T00:00:00.000Z,2036-10-14T12:00:00.000Z,0,0,0,0
"Panama Tropical Reforestation","GS11899","Panama Reforestation Services, S.A.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Panama",Listed,,,0,0,0,0
"San Nicolas CDM Reforestation Project","D9FNHZ8HUQ6DLI2J0GXX3XHBZC1PCY","Mas Bosques, WB-CF","CDM Registry","CDM - AR-AM0009","Afforestation and reforestation","Colombia",Registered,2008-06-18T00:00:00.000Z,2028-06-17T00:00:00.000Z,0,0,0,0
"Reforestation of degraded grasslands in Uchindile & Mapanda, Tanzania","142","Green Resources Tanzania Ltd (GRL)","Verra","AR-AM0005","Agriculture; forestry and fishing",--,Registered,,,0,1035289,547103,488186
"Nature Conservation Reforestation project - Caatinga Biome, Ceara","GS11648","CO2logic","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Brazil",Registered,,,0,0,0,0
