Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Restore Africa: Restoring trees and livelihoods in Kenya","4481","Global Evergreening Alliance","Verra","Methodology Under Development","Agriculture; forestry and fishing","Kenya",Listed,,,0,0,0,0
"Aeco Peatland Restoration Latvia #1","5067","aeco GmbH","Verra","VM0036","Agriculture; forestry and fishing","Latvia",Listed,,,0,0,0,0
"PROJECT BUFFALO | WESTERN GUINEAN LOWLAND FOREST ECOSYSTEM RESTORATION","5351","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Sierra Leone",Listed,,,0,0,0,0
"Rwanda Riparian Restoration Project","3072","EcoPlanet Bamboo Group","Verra","AR-ACM0003","Agriculture; forestry and fishing","Rwanda",Listed,,,0,0,0,0
"Timor-Leste Mangrove Restoration Project","4847","SK Forest","Verra","VM0033","Agriculture; forestry and fishing","Timor-Leste",Listed,,,0,0,0,0
"India Sundarbans Mangrove Restoration","1M4DGESWLXKKD8XTB2MMXGA2DJHLL4","Scan Steels","CDM Registry","CDM - AR-AM0014","Afforestation and reforestation","India",Withdrawn,2010-09-28T00:00:00.000Z,2030-09-28T00:00:00.000Z,0,0,0,0
"Restoration of Degraded Lands through Reforestation in Aberdare Forest Complex & National Park area, Kenya","0LCD8U09HEN46XXT0YIX3XP5SYME0N","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Small-scale Reforestation for Landscape Restoration.","988OVLUNUVKP42F67MCACDP3LCIGC6","Mitsubishi UFJ Securities","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","China",Validated,2006-10-15T00:00:00.000Z,2036-10-14T12:00:00.000Z,0,0,0,0
"Agroforestry and forest restoration for ecological connectivity, poverty reduction and biodiversity conservation in Cerro San Gil, Caribbean Guatemala","1558","Livelihoods Fund SICAV SIF","Verra","AR-ACM0003","Agriculture; forestry and fishing","Guatemala",Registered,,,0,278197,122490,155707
"Small-scale Reforestation for Landscape Restoration","XRBP7BQVJEKWNGD0RB8ISRVZVO6MCM","Chinese Academy of Forestry, Winrock","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","China",Withdrawn,2007-06-01T00:00:00.000Z,2037-05-31T12:00:00.000Z,0,0,0,0
"Sembrando Futuro Restoration Project","5324","ALLCOT A.G.","Verra","VM0047","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"Livelihoods' mangrove restoration grouped project in Senegal","1318","Livelihoods Fund SICAV SIF","Verra","AR-AM0014","Agriculture; forestry and fishing","Senegal",Registered,,,0,509878,348884,160994
"Mangrove restoration project in Wenchang and Changjiang, Hainan","3897","Not specified","Verra","VM0033","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Boomitra grassland Restoration in Colombia","5335","Boomitra Inc","Verra","VCS-VM0042","Agriculture; forestry and fishing","Colombia",Listed,,,0,0,0,0
"Katingan Peatland Restoration and Conservation Project","1477","PT. Rimba Makmur Utama (PT. RMU)","Verra","VM0007","Agriculture; forestry and fishing","Indonesia",Registered,,,0,62718596,32361203,30357393
"The Native Ecosystem Restoration in Nicaragua Project","4004","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Nicaragua",Listed,,,0,0,0,0
"Chestnut Sustainable Restoration Project","GS12135","Chestnut Carbon, LLC","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","United States of America",Registered,,,0,0,0,0
"Participatory Mangrove Afforestation & Restoration in the west coast of India","3361","Not specified","Verra","AR-AM0014","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Conservation, Restoration and Sustainable Management of Classified Forests in Côte d’Ivoire (CRCF)","4329","Not specified","Verra","VCS-VM0007","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Project to Restore Degraded Lands by Planting Forest and Fruit Trees in Northern Cameroon","4913","S2 Services","Verra","VM0047","Agriculture; forestry and fishing","Cameroon",Listed,,,0,0,0,0
"Greening Farmlands: Plantations for Sustainable Growth and Restoration in Central and Eastern India","5134","Varaha ClimateAg Private Limited","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Restoration of Degraded Mangroves and Sustainable Development in Myanmar","2792","Worldview International Foundation","Verra","AR-AM0014","Agriculture; forestry and fishing","Myanmar",Listed,,,0,0,0,0
"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar","1764","Worldview International Foundation","Verra","AR-AM0014","Agriculture; forestry and fishing","Myanmar",Registered,,,0,293970,176161,117809
"Land Life Reforestation and Restoration of Degraded Land in Australia - A","4822","Land Life Company BV","Verra","AR-ACM0003","Agriculture; forestry and fishing","Australia",Listed,,,0,0,0,0
"Kupu-Kupu Project - Enhancing Livelihoods through Mangrove Restoration and Silvofishery in South Sulawesi","5032","Vlinder Austria GmbH","Verra","VCS-VM0033","Agriculture; forestry and fishing","Indonesia",Listed,,,0,0,0,0
"PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project)","4967","PT. Pagatan Usaha Makmur","Verra","VCS-VM0007","Agriculture; forestry and fishing","Indonesia",Listed,,,0,0,0,0
"Mangrove Restoration and Sustainable Development in Myanmar","2088","Worldview International Foundation","Verra","AR-AM0014","Agriculture; forestry and fishing","Myanmar",Listed,,,0,0,0,0
"Ola Hou – Restoring Hawaii’s Native Forests","2321","State of Hawaii Department of Land and Natural Resources Division of Forestry and Wildlife","Verra","VCS-AR-ACM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"SPEKBOOM RESTORATION PROJECT BEKA EMVA IGWANISHE - ISIXHOSA","5027","Not specified","Verra","VM0047","Agriculture; forestry and fishing","South Africa",Listed,,,0,0,0,0
"Boomitra Grassland Restoration in the Temperate Grasslands of South America Through Soil Enrichment","3291","Boomitra Inc","Verra","VM0042","Agriculture; forestry and fishing","Argentina",Listed,,,0,0,0,0
"Bulindi Chimpanzee Habitat Restoration Project","GS12226","DutchGreen Project Management B.V.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Forestry","Uganda",Listed,,,0,0,0,0
"Restoration of Degraded Lands through Reforestation in MAU Forest Complex, Kenya","DMCO1TBUCORJZSM7R0MZ5P4RXGWN5T","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Land Life Reforestation and Restoration of Degraded Land in Colorado","4820","Land Life Company BV","Verra","AR-ACM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"RESTORATION OF HOMESTAED LAND  OF POOR RURAL COMMUNITIES IN  ASSAM AND MEGHALAYA","3892","Not specified","Verra","ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Eastern Cape Restoration Project, South Africa - Somerset East","3628","EcoPlanet Bamboo Group","Verra","AR-ACM0003","Agriculture; forestry and fishing","South Africa",Listed,,,0,0,0,0
"Land Life Reforestation and Restoration on Degraded Land in Australia","4463","Land Life Company BV","Verra","AR-ACM0003","Agriculture; forestry and fishing","Australia",Listed,,,0,0,0,0
"Community Restoration of Native Ecosystems in Ghana","4126","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,0,0,0
"Mangrove Restoration Project with Sine Saloum and Casamance communities, Senegal","2834","WeForest ASBL","Verra","AR-AM0014","Agriculture; forestry and fishing","Senegal",Listed,,,0,0,0,0
"Community-Based Mangrove Conservation and Restoration in Sierra Leone","4539","West Africa Blue","Verra","VM0033","Agriculture; forestry and fishing","Sierra Leone",Listed,,,0,0,0,0
"Boomitra Grassland Restoration in Northern Mexico","2887","Boomitra Inc","Verra","VM0042","Agriculture; forestry and fishing","Mexico",Listed,,,0,0,0,0
"Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray","3429","WeForest ASBL","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ethiopia",Listed,,,0,0,0,0
"Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia","LLESLB1FBIG2VW017AWSEKMTXVML5Q","ECOEYE","CDM Registry","CDM - AR-AM0014","Afforestation and reforestation","Myanmar",Registered,2020-01-28T00:00:00.000Z,2027-01-27T00:00:00.000Z,0,0,0,0
"Carbon Mosaic Conservation and Restoration of Mangroves in Delta State","5224","Not specified","Verra","VCS-VM0042","Agriculture; forestry and fishing","Nigeria",Listed,,,0,0,0,0
"SPEKBOOM RESTORATION PROJECT BEKA EMVA IGWANISHE - ISIXHOSA","5027","Not specified","Verra","VM0047","Agriculture; forestry and fishing","South Africa",Listed,,,0,0,0,0
"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems","1869","Société de gestion de projets ECOTIERRA Inc.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Registered,,,0,0,0,0
"Restoring Mangroves in Mexico's Blue Carbon Ecosystems","2842","BlueMX Mangrove A.C.","Verra","VM0033","Agriculture; forestry and fishing","Mexico",Listed,,,0,0,0,0
"Conservation and restoration of the tropical dry forest of the north coast of Peru","3179","AIDER","Verra","VM0006","Agriculture; forestry and fishing","Peru",Listed,,,0,0,0,0
"Kuzuko Lodge Private Game Reserve thicket restoration project","1343","Spekboom Trading (Pty) Ltd","Verra","AR-ACM0003","Agriculture; forestry and fishing","South Africa",Registered,,,0,0,0,0
"RESTORATION OF DEGRADED LAND TO ENHANCE TREE COVER AND IMPROVE LIVELIHOODS OF FARMERS IN INDIA","4436","Pernod Ricard India Foundation","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Project Akwaaba | Forest Ecosystem Restoration in Ghana","5172","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Ghana",Listed,,,0,0,0,0
"Upscaling Livelihoods and Biodiversity Through Community mobilization and lagoon restoration in Anawasala Kalpitiya","3740","ARINMA HOLDINGS PVT (LTD","Verra","VM0024","Agriculture; forestry and fishing","Sri Lanka",Listed,,,0,0,0,0
"PROCUENCA: Forestry Project to Restore the Watershed of the Chinchiná River, an Environmental and Productive Alternative for the City of Manizales and the Surrounding Region.","4XU3GS9F63DTVWF6BPNRTKQ6ZI0536","Deloitte Touche Tohmatsu India","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",Validated,2002-06-01T00:00:00.000Z,2022-06-01T00:00:00.000Z,0,0,0,0
"Djibouti Mangrove Restoration Program","5192","SCB Brokers LLC","Verra","VM0047","Agriculture; forestry and fishing","Djibouti",Listed,,,0,0,0,0
"SUNDARI MANGROVE RESTORATION PROJECT IN THE INDIAN SUNDARBANS","4541","Not specified","Verra","VM0033","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
