Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Project to Restore Degraded Lands by Planting Forest and Fruit Trees in Northern Cameroon","4913","S2 Services","Verra","VM0047","Agriculture; forestry and fishing","Cameroon",Listed,,,0,0,0,0
"TERAKA MADAGASCAR: SMALLHOLDER TREE PLANTING PROGRAM","5107","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Madagascar",Listed,,,0,0,0,0
"Revegetation with fruit Trees in North Manica Province, Mozambique","2085","Agrimoz S.a r.l.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Mozambique",Registered,,,0,5367,5367,0
"Tree Planting in South African townships","720","Food and Trees for Africa (FTFA)","Verra","AR-AM0002","Agriculture; forestry and fishing","South Africa",Registered,,,0,0,0,0
"Working Trees supporting eastern US Silvopasture, Project 1","4495","Working Trees","Verra","Methodology Under Development","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"M/s. TATA COFFEE LIMITED (TCL) TREE PLANTATION CARBON PROJECT IN WESTERN GHATS","5010","Ms. TATA COFFEE LIMITED","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Rabo Carbon Bank Trees for Farmers (TFF) Brazil ARR Grouped Project","4727","Rabobank","Verra","Methodology Under Development","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Afforestation project by Cropcity Agrovet Pvt. Ltd. Mahogany trees","2346","Cropcity Agrovet Pvt. Ltd","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"SEKEM tree project","GS4894","SEKEM for Land Reclamation (SLR)","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Egypt",Registered,,,0,0,0,0
"The International Small Group and Tree Planting Program (TIST), Tamil Nadu, India","JJI2CSEBU43B3VAFR0OTUIFGPL15IK","Clean Air Action Corporation","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","India",Registered,2004-01-01T00:00:00.000Z,2033-12-31T00:00:00.000Z,0,0,0,0
"Working Trees- Scaling Brazilian Silvopasture (WT-SBS)","5184","Working Trees","Verra","VM0047","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Promoting Sustainable Development through Natural Rubber Tree Plantations in Guatemala","514","Negocios Energéticos de Occidente S.A.","Verra","AR-ACM0001","Agriculture; forestry and fishing","Guatemala",Registered,,,0,298741,298741,0
"ecoTrees AG – Paulownia Tree Plantation Management in Romania to Sell Wood Production and the Carbon Offsets","2650","ecoTrees AG","Verra","Methodology Under Development","Agriculture; forestry and fishing","Romania",Listed,,,0,0,0,0
"Forest, Trees and Sustainable Livelihoods","GS11857","Society for the Upliftment of Villagers and Development of Himalayan Areas (SUVIDHA)","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","India",Listed,,,0,0,0,0
"Trees For Livelihoods: Agroforestry In Sonbhadra, Uttar Pradesh, India","4892","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Restore Africa: Restoring trees and livelihoods in Kenya","4481","Global Evergreening Alliance","Verra","Methodology Under Development","Agriculture; forestry and fishing","Kenya",Listed,,,0,0,0,0
"Mindanao Tree Planting Program for our Climate and Communities (MinTrees)","2412","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Philippines",Registered,,,0,12685,9953,2732
"Trees for Livelihood in Madhya Pradesh, India","4627","Value Network Venture Advisory Services PTE. LTD","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"RESTORATION OF DEGRADED LAND TO ENHANCE TREE COVER AND IMPROVE LIVELIHOODS OF FARMERS IN INDIA","4436","Pernod Ricard India Foundation","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Planting of trees for conservation of lands in different states in India","5221","Not specified","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
